Code,Province,Year-Month,Sales
92000138,Aceh,2015-01,348
92000138,Aceh,2015-02,656
92000138,Aceh,2015-03,720
92000138,Aceh,2015-04,850
92000138,Aceh,2015-05,121
92000138,Aceh,2015-06,293
92000138,Aceh,2015-07,155
92000138,Aceh,2015-08,306
92000138,Aceh,2015-09,466
92000138,Aceh,2015-10,791
92000138,Aceh,2015-11,749
92000138,Aceh,2015-12,667
92000138,Aceh,2016-01,927
92000138,Aceh,2016-02,597
92000138,Aceh,2016-03,935
92000138,Aceh,2016-04,932
92000138,Aceh,2016-05,611
92000138,Aceh,2016-06,736
92000138,Aceh,2016-07,130
92000138,Aceh,2016-08,112
92000138,Aceh,2016-09,349
92000138,Aceh,2016-10,230
92000138,Aceh,2016-11,890
92000138,Aceh,2016-12,110
92000138,Aceh,2017-01,142
92000138,Aceh,2017-02,825
92000138,Aceh,2017-03,328
92000138,Aceh,2017-04,908
92000138,Aceh,2017-05,393
92000138,Aceh,2017-06,409
92000138,Aceh,2017-07,372
92000138,Aceh,2017-08,874
92000138,Aceh,2017-09,480
92000138,Aceh,2017-10,749
92000138,Aceh,2017-11,892
92000138,Aceh,2017-12,517
92000138,Aceh,2018-01,833
92000138,Aceh,2018-02,267
92000138,Aceh,2018-03,127
92000138,Aceh,2018-04,774
92000138,Aceh,2018-05,487
92000138,Aceh,2018-06,860
92000138,Aceh,2018-07,820
92000138,Aceh,2018-08,305
92000138,Aceh,2018-09,593
92000138,Aceh,2018-10,777
92000138,Aceh,2018-11,148
92000138,Aceh,2018-12,990
92000138,Aceh,2019-01,545
92000138,Aceh,2019-02,251
92000138,Aceh,2019-03,196
92000138,Aceh,2019-04,153
92000138,Aceh,2019-05,956
92000138,Aceh,2019-06,949
92000138,Aceh,2019-07,952
92000138,Aceh,2019-08,209
92000138,Aceh,2019-09,346
92000138,Aceh,2019-10,778
92000138,Aceh,2019-11,464
92000138,Aceh,2019-12,452
92000138,Aceh,2020-01,869
92000138,Aceh,2020-02,399
92000138,Aceh,2020-03,906
92000138,Aceh,2020-04,252
92000138,Aceh,2020-05,923
92000138,Aceh,2020-06,908
92000138,Aceh,2020-07,148
92000138,Aceh,2020-08,358
92000138,Aceh,2020-09,943
92000138,Aceh,2020-10,597
92000138,Aceh,2020-11,518
92000138,Aceh,2020-12,595
92000138,Aceh,2021-01,199
92000138,Aceh,2021-02,243
92000138,Aceh,2021-03,902
92000138,Aceh,2021-04,203
92000138,Aceh,2021-05,993
92000138,Aceh,2021-06,696
92000138,Aceh,2021-07,562
92000138,Aceh,2021-08,674
92000138,Aceh,2021-09,675
92000138,Aceh,2021-10,101
92000138,Aceh,2021-11,867
92000138,Aceh,2021-12,861
92000138,Aceh,2022-01,496
92000138,Aceh,2022-02,477
92000138,Aceh,2022-03,215
92000138,Aceh,2022-04,385
92000138,Aceh,2022-05,644
92000138,Aceh,2022-06,577
92000138,Aceh,2022-07,434
92000138,Aceh,2022-08,614
92000138,Aceh,2022-09,222
92000138,Aceh,2022-10,885
92000138,Aceh,2022-11,987
92000138,Aceh,2022-12,649
92000138,Aceh,2023-01,798
92000138,Aceh,2023-02,418
92000138,Aceh,2023-03,144
92000138,Aceh,2023-04,414
92000138,Aceh,2023-05,772
92000138,Aceh,2023-06,970
92000138,Aceh,2023-07,938
92000138,Aceh,2023-08,235
92000138,Aceh,2023-09,399
92000138,Aceh,2023-10,445
92000138,Aceh,2023-11,591
92000138,Aceh,2023-12,562
92000138,Aceh,2024-01,458
92000138,Aceh,2024-02,649
92000138,Aceh,2024-03,896
92000138,Aceh,2024-04,383
92000138,Aceh,2024-05,199
92000138,Aceh,2024-06,944
92000138,Aceh,2024-07,965
92000138,Aceh,2024-08,790
92000138,Aceh,2024-09,770
92000138,Aceh,2024-10,202
92000138,Aceh,2024-11,491
92000138,Aceh,2024-12,256
92000138,Aceh,2025-01,300
92000138,Aceh,2025-02,353
92000138,Aceh,2025-03,178
92000138,Aceh,2025-04,718
92000138,Aceh,2025-05,339
92000138,Sumatera Utara,2015-01,395
92000138,Sumatera Utara,2015-02,570
