iter	Passed	Remaining
0	94	66247
1	134	46793
2	167	39005
3	204	35549
4	248	34520
5	285	32965
6	331	32867
7	376	32535
8	421	32395
9	472	32621
10	525	32893
11	568	32582
12	620	32813
13	666	32637
14	703	32114
15	761	32537
16	815	32766
17	863	32719
18	910	32642
19	955	32501
20	992	32106
21	1033	31849
22	1071	31540
23	1115	31433
24	1160	31329
25	1197	31032
26	1237	30857
27	1278	30678
28	1322	30589
29	1361	30406
30	1398	30171
31	1433	29920
32	1470	29719
33	1508	29545
34	1548	29423
35	1594	29404
36	1633	29269
37	1682	29314
38	1723	29208
39	1761	29070
40	1796	28867
41	1837	28793
42	1870	28586
43	1905	28411
44	1943	28292
45	1981	28178
46	2021	28089
47	2061	27997
48	2095	27843
49	2134	27752
50	2175	27684
51	2210	27544
52	2248	27444
53	2285	27347
54	2320	27213
55	2354	27079
56	2394	27006
57	2431	26918
58	2489	27042
59	2529	26983
60	2575	26979
61	2623	26996
62	2665	26946
63	2709	26922
64	2755	26922
65	2807	26964
66	2848	26909
67	2900	26956
68	2949	26970
69	2988	26898
70	3035	26890
71	3091	26969
72	3136	26940
73	3195	27033
74	3254	27123
75	3313	27204
76	3363	27216
77	3410	27198
78	3471	27287
79	3532	27374
80	3588	27420
81	3637	27412
82	3695	27470
83	3743	27453
84	3801	27506
85	3844	27449
86	3891	27420
87	3935	27371
88	3986	27366
89	4027	27300
90	4078	27293
91	4121	27234
92	4162	27171
93	4203	27100
94	4246	27041
95	4290	26997
96	4336	26960
97	4376	26885
98	4416	26811
99	4457	26742
100	4495	26663
101	4535	26588
102	4585	26575
103	4631	26544
104	4689	26571
105	4727	26493
106	4772	26448
107	4820	26423
108	4869	26402
109	4913	26356
110	4958	26312
111	5006	26282
112	5062	26297
113	5109	26263
114	5162	26261
115	5211	26238
116	5255	26185
117	5302	26154
118	5347	26110
119	5393	26067
120	5434	26003
121	5467	25904
122	5507	25837
123	5551	25786
124	5590	25716
125	5627	25637
126	5663	25550
127	5712	25527
128	5764	25517
129	5803	25446
130	5847	25396
131	5884	25321
132	5922	25247
133	5966	25203
134	6004	25129
135	6048	25081
136	6090	25029
137	6139	25001
138	6176	24926
139	6217	24871
140	6258	24813
141	6298	24749
142	6337	24684
143	6377	24624
144	6415	24554
145	6450	24475
146	6492	24423
147	6542	24400
148	6621	24487
149	6658	24415
150	6714	24413
151	6770	24409
152	6813	24358
153	6856	24307
154	6903	24274
155	6954	24250
156	7001	24216
157	7056	24207
158	7108	24185
159	7141	24102
160	7182	24045
161	7227	24004
162	7269	23948
163	7312	23898
164	7357	23856
165	7393	23782
166	7434	23727
167	7473	23666
168	7512	23605
169	7552	23546
170	7588	23476
171	7633	23432
172	7670	23366
173	7713	23317
174	7749	23249
175	7784	23177
176	7829	23133
177	7864	23061
178	7905	23009
179	7945	22952
180	7987	22903
181	8030	22856
182	8073	22809
183	8112	22751
184	8152	22694
185	8192	22639
186	8228	22573
187	8279	22547
188	8319	22493
189	8354	22425
190	8394	22371
191	8431	22307
192	8476	22266
193	8515	22211
194	8555	22156
195	8596	22106
196	8630	22037
197	8668	21976
198	8707	21922
199	8741	21852
200	8783	21806
201	8830	21769
202	8870	21716
203	8905	21653
204	8936	21579
205	8974	21522
206	9013	21466
207	9059	21429
208	9093	21363
209	9132	21310
210	9169	21250
211	9211	21202
212	9245	21139
213	9285	21086
214	9325	21035
215	9367	20990
216	9405	20934
217	9441	20875
218	9483	20827
219	9525	20782
220	9560	20721
221	9603	20677
222	9643	20628
223	9683	20576
224	9719	20519
225	9759	20468
226	9797	20414
227	9839	20368
228	9884	20330
229	9922	20276
230	9968	20238
231	10005	20183
232	10041	20126
233	10082	20078
234	10129	20043
235	10172	19999
236	10212	19950
237	10247	19892
238	10286	19841
239	10333	19805
240	10375	19761
241	10417	19716
242	10453	19659
243	10491	19606
244	10534	19563
245	10575	19516
246	10618	19473
247	10659	19428
248	10704	19388
249	10745	19341
250	10779	19282
251	10817	19231
252	10863	19193
253	10908	19153
254	10951	19111
255	10992	19065
256	11036	19024
257	11083	18987
258	11119	18932
259	11163	18892
260	11202	18842
261	11242	18794
262	11279	18742
263	11321	18698
264	11361	18649
265	11395	18592
266	11432	18540
267	11475	18497
268	11510	18442
269	11551	18396
270	11591	18349
271	11632	18304
272	11672	18256
273	11714	18213
274	11752	18162
275	11796	18121
