iter	Accuracy	MultiClass
0	0.1683467742	3.583217498
1	0.3046875	3.463919609
2	0.4226310484	3.345223704
3	0.5393145161	3.229118347
4	0.6338205645	3.106638755
5	0.7046370968	3.006217218
6	0.7530241935	2.912170902
7	0.7782258065	2.836403139
8	0.7804939516	2.772933468
9	0.8986895161	2.584947894
10	0.9690020161	2.479314496
11	0.9697580645	2.421996332
12	0.974546371	2.357330568
13	0.9780745968	2.300833671
14	0.9780745968	2.246460453
15	0.9780745968	2.199891613
16	0.9818548387	2.107376591
17	0.9818548387	2.065600241
18	0.9818548387	2.025988056
19	0.9848790323	1.93398691
20	0.9873991935	1.884744337
21	0.9886592742	1.852176543
22	0.9886592742	1.821539356
23	0.9931955645	1.700583304
24	0.9947076613	1.638759736
25	0.9947076613	1.532363769
26	0.9947076613	1.507807578
27	0.9947076613	1.483952553
28	0.9947076613	1.463124921
29	0.9947076613	1.436098899
30	0.9947076613	1.414235269
31	0.9947076613	1.389889379
32	0.9947076613	1.350567479
33	0.9947076613	1.331565365
34	0.9959677419	1.295245386
35	0.9959677419	1.230199752
36	0.9959677419	1.201462284
37	0.9987399194	1.131196545
38	0.9972278226	1.102628154
39	0.9972278226	1.087474085
40	0.9972278226	1.071275034
41	0.9987399194	1.02453804
42	0.9987399194	1.011170849
43	0.9987399194	0.996342013
44	0.9987399194	0.9780079011
45	0.9972278226	0.9347340984
46	0.9972278226	0.9231196988
47	0.9972278226	0.8926507273
48	0.9972278226	0.8727081668
49	0.9972278226	0.8600710592
50	0.9972278226	0.8371775842
51	0.9972278226	0.822805097
52	0.9987399194	0.7918100665
53	0.9987399194	0.7751459306
54	0.9987399194	0.764184275
55	0.9987399194	0.7536430359
56	0.9987399194	0.7301726187
57	0.9987399194	0.7201632838
58	0.9987399194	0.7120764332
59	0.9987399194	0.6916442379
60	0.9972278226	0.6706237793
61	0.9972278226	0.6590395281
62	0.9972278226	0.6517969562
63	0.9972278226	0.644608836
64	0.9972278226	0.6309023826
65	0.9984879032	0.6162147522
66	1	0.5968294451
67	1	0.5776547463
68	1	0.5673249152
69	0.9987399194	0.5613062459
70	0.9987399194	0.5538601414
71	0.9987399194	0.5468028284
72	1	0.5299197166
73	1	0.5126245868
74	1	0.4978206696
75	1	0.4915955451
76	1	0.4853573461
77	1	0.4699009618
78	1	0.4557391136
79	1	0.4500996374
80	1	0.433609501
81	1	0.4256370298
82	1	0.4210993244
83	1	0.4088537462
84	1	0.4047830643
85	1	0.4000085708
86	1	0.3925041999
87	1	0.3842826659
88	1	0.3721004609
89	1	0.3682969001
90	1	0.3608661159
91	1	0.3477738903
92	1	0.340870888
93	1	0.3368652405
94	1	0.3301940426
95	1	0.3256684273
96	1	0.3166348857
97	1	0.3078742489
98	1	0.3044707391
99	1	0.2948873274
100	1	0.2918882678
101	1	0.2848619953
102	1	0.2809604522
103	1	0.2773471955
104	1	0.2741743518
105	1	0.2710598053
106	1	0.2680802807
107	1	0.2631281268
108	1	0.2563522093
109	1	0.254265093
110	1	0.250992898
111	1	0.2471819232
112	1	0.2408457725
113	1	0.2364836201
114	1	0.2317023431
115	1	0.227603574
116	1	0.2224135399
117	1	0.2198847494
118	1	0.2157679835
119	1	0.2122210687
120	1	0.2070334342
121	1	0.2027112745
122	1	0.198272059
123	1	0.1967801586
124	1	0.1914385211
125	1	0.1877363113
126	1	0.1859788279
127	1	0.1803224471
128	1	0.178772834
129	1	0.1765692311
130	1	0.1719114704
131	1	0.1692412746
132	1	0.1654842746
133	1	0.1635959687
134	1	0.1619332683
135	1	0.1610817755
136	1	0.1597166677
137	1	0.1570560701
138	1	0.1558535022
139	1	0.1519762624
140	1	0.1508304842
141	1	0.1483181523
142	1	0.1445926697
143	1	0.1435078652
144	1	0.1415456187
145	1	0.1405280329
146	1	0.138587644
147	1	0.1364727174
148	1	0.1345701833
149	1	0.1334218979
150	1	0.132455795
151	1	0.1315481432
152	1	0.1289898042
153	1	0.1268738162
154	1	0.1258482779
155	1	0.1248805677
156	1	0.1231168624
157	1	0.1205880873
158	1	0.1177039531
159	1	0.1168741411
160	1	0.1146709381
161	1	0.1120630849
162	1	0.1099013052
163	1	0.1090025979
164	1	0.108296925
165	1	0.1076638775
166	1	0.105026522
167	1	0.1040040601
168	1	0.1027602765
169	1	0.1015839731
170	1	0.1000900653
171	1	0.09879836728
172	1	0.0967380616
173	1	0.09605901472
174	1	0.09446726307
175	1	0.09326094966
176	1	0.09270674183
177	1	0.09207207157
178	1	0.09004734408
179	1	0.08849979216
180	1	0.08722620626
181	1	0.08603694362
182	1	0.08519318027
183	1	0.0841085757
184	1	0.08316410741
185	1	0.08207651108
186	1	0.08153923865
187	1	0.07992458344
188	1	0.07943497935
189	1	0.07832481015
190	1	0.07739619286
191	1	0.07681728178
192	1	0.07605488839
193	1	0.07535387624
194	1	0.07440635466
195	1	0.07302218099
196	1	0.07222523997
197	1	0.07113268298
198	1	0.07078306137
199	1	0.07011292058
200	1	0.06901935608
201	1	0.06827827423
202	1	0.06719211609
203	1	0.06677649098
204	1	0.06643925175
205	1	0.06597700427
206	1	0.06545970517
207	1	0.06447071798
208	1	0.06372226438
209	1	0.06335284633
210	1	0.06299412251
211	1	0.06255261744
212	1	0.0619954909
213	1	0.06127747797
214	1	0.06093685473
215	1	0.06002668027
216	1	0.05962763679
217	1	0.05933591627
218	1	0.05858605908
219	1	0.05785003785
220	1	0.05735185069
221	1	0.05654261189
222	1	0.05614902896
223	1	0.05569656434
224	1	0.05531510615
225	1	0.05494032368
226	1	0.053993775
227	1	0.05369998178
228	1	0.05282423189
229	1	0.05253817958
230	1	0.05230062239
231	1	0.05205832374
232	1	0.05155431071
233	1	0.05130048721
234	1	0.05048719529
235	1	0.05017437858
236	1	0.04965408387
237	1	0.04922785298
238	1	0.04872084433
239	1	0.04812370193
240	1	0.04785348523
241	1	0.04739900174
242	1	0.04708218959
243	1	0.04656488665
244	1	0.04622557471
245	1	0.0456863411
246	1	0.04547085685
247	1	0.0452441477
248	1	0.04459667206
249	1	0.04402617101
250	1	0.04383367492
251	1	0.04359808276
252	1	0.04304537081
253	1	0.04251620846
254	1	0.04196658442
255	1	0.04163186396
256	1	0.04140745824
257	1	0.04122522569
258	1	0.04098514588
259	1	0.04073438337
260	1	0.04055256997
261	1	0.0402888175
262	1	0.03977170298
263	1	0.03948595447
264	1	0.03914232792
265	1	0.03893208504
266	1	0.03878494232
267	1	0.0385251199
268	1	0.03834296042
269	1	0.03801558864
270	1	0.03761080773
271	1	0.03712682955
272	1	0.03684334217
273	1	0.03658607698
274	1	0.03613618112
275	1	0.03590297699
276	1	0.03573387669
277	1	0.03547976863
278	1	0.03515544245
279	1	0.03477728751
280	1	0.03459577022
281	1	0.03444765845
282	1	0.03427065957
283	1	0.03407017646
284	1	0.03375922864
285	1	0.03365374765
286	1	0.03355804951
287	1	0.03343176842
288	1	0.03317410715
289	1	0.03302920634
290	1	0.03286896213
291	1	0.03261547319
292	1	0.03227890307
293	1	0.03211193315
294	1	0.03194024294
295	1	0.03181693823
296	1	0.03166150662
297	1	0.03154829817
298	1	0.03143537621
299	1	0.03130764346
300	1	0.03096236144
301	1	0.03061928864
302	1	0.03031568758
303	1	0.02996567949
304	1	0.02984231903
305	1	0.02973501528
306	1	0.02947792315
307	1	0.02937588576
308	1	0.02925923178
309	1	0.02911858405
310	1	0.02888430511
311	1	0.02876926622
312	1	0.02861083323
313	1	0.02850429473
314	1	0.0283567867
315	1	0.0281757424
316	1	0.02784077775
317	1	0.02758268195
318	1	0.02747910061
319	1	0.02732863349
320	1	0.02721651139
321	1	0.02713584323
322	1	0.02689420216
323	1	0.02673642674
324	1	0.02657701508
325	1	0.02631557565
326	1	0.02618895615
327	1	0.02605019654
328	1	0.02596124718
329	1	0.02589309792
330	1	0.0257958193
331	1	0.02570277452
332	1	0.02556750467
333	1	0.02536409132
334	1	0.02527530924
335	1	0.02516456573
336	1	0.02503655803
337	1	0.02495453819
338	1	0.02474494903
